Site,Week_End,Pathogen_Target,Site_WVAL,Site_WVAL_Category,State/Territory,Population_Served
ID:113,2022-09-03,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2022-09-10,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2022-09-17,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2022-09-24,Influenza A virus,1.88,Very Low,California,4000000
ID:113,2022-10-01,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2022-10-08,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2022-10-15,Influenza A virus,2.64,Very Low,California,4000000
ID:113,2022-10-22,Influenza A virus,2.19,Very Low,California,4000000
ID:113,2022-10-29,Influenza A virus,3.25,Low,California,4000000
ID:113,2022-11-05,Influenza A virus,6.02,Low,California,4000000
ID:113,2022-11-12,Influenza A virus,8.3,Moderate,California,4000000
ID:113,2022-11-19,Influenza A virus,8.43,Moderate,California,4000000
ID:113,2022-11-26,Influenza A virus,10.3,Moderate,California,4000000
ID:113,2022-12-03,Influenza A virus,16.54,High,California,4000000
ID:113,2022-12-10,Influenza A virus,11.79,High,California,4000000
ID:113,2022-12-17,Influenza A virus,11.34,High,California,4000000
ID:113,2022-12-24,Influenza A virus,10.18,Moderate,California,4000000
ID:113,2022-12-31,Influenza A virus,8.24,Moderate,California,4000000
ID:113,2023-01-07,Influenza A virus,7.17,Moderate,California,4000000
ID:113,2023-01-14,Influenza A virus,4.28,Low,California,4000000
ID:113,2023-01-21,Influenza A virus,2.6,Very Low,California,4000000
ID:113,2023-01-28,Influenza A virus,3.21,Low,California,4000000
ID:113,2023-02-04,Influenza A virus,2.09,Very Low,California,4000000
ID:113,2023-02-11,Influenza A virus,2.04,Very Low,California,4000000
ID:113,2023-02-18,Influenza A virus,1.66,Very Low,California,4000000
ID:113,2023-02-25,Influenza A virus,1.52,Very Low,California,4000000
ID:113,2023-03-04,Influenza A virus,2.55,Very Low,California,4000000
ID:113,2023-03-11,Influenza A virus,1.53,Very Low,California,4000000
ID:113,2023-03-18,Influenza A virus,1.83,Very Low,California,4000000
ID:113,2023-03-25,Influenza A virus,1.7,Very Low,California,4000000
ID:113,2023-04-01,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-04-08,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-04-15,Influenza A virus,1.31,Very Low,California,4000000
ID:113,2023-04-22,Influenza A virus,1.2,Very Low,California,4000000
ID:113,2023-04-29,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-05-06,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-05-13,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-05-20,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-05-27,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-06-03,Influenza A virus,1.0,Very Low,California,4000000
ID:113,2023-06-10,Influenza A virus,1.0,Very Low,California,4000000
